year,n.fish,n.trip,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118
1998,688,105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0127,0.0390,0.0613,0.1654,0.1696,0.1149,0.1550,0.0809,0.0864,0.0400,0.0293,0.0146,0.0031,0.0150,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1999,1636,176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0071,0.0129,0.0537,0.0806,0.1672,0.2168,0.2129,0.1070,0.0558,0.0608,0.0112,0.0062,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2000,1595,214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,0.0000,0.0000,0.0053,0.0058,0.0128,0.0302,0.0716,0.0971,0.1615,0.2160,0.1761,0.1279,0.0436,0.0198,0.0067,0.0025,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2001,850,149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0007,0.0000,0.0127,0.0792,0.0182,0.0617,0.0833,0.1520,0.1763,0.2005,0.1229,0.0574,0.0209,0.0102,0.0020,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2002,596,116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0131,0.0460,0.0320,0.0571,0.0538,0.0635,0.0507,0.0816,0.1826,0.1871,0.1358,0.0700,0.0234,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2003,805,134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0051,0.0093,0.0727,0.0722,0.0815,0.0979,0.0699,0.0608,0.0420,0.0825,0.1329,0.1563,0.0909,0.0206,0.0036,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2004,1238,181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0021,0.0042,0.0323,0.0709,0.0886,0.0560,0.0750,0.0877,0.0709,0.0517,0.0318,0.0576,0.0989,0.0442,0.0706,0.0575,0.0220,0.0110,0.0000,0.0000,0.0220,0.0000,0.0329,0.0110,0.0000,0.0000
2005,1299,240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0528,0.0817,0.1315,0.1421,0.0952,0.0782,0.1116,0.0788,0.0629,0.0553,0.0594,0.0370,0.0129,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2006,2042,282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0044,0.0820,0.1208,0.0914,0.0825,0.0977,0.1272,0.1135,0.0909,0.0663,0.0658,0.0383,0.0133,0.0044,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2007,2737,399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0017,0.0017,0.0013,0.0137,0.0709,0.1201,0.1398,0.1414,0.1213,0.1022,0.1166,0.0704,0.0459,0.0352,0.0087,0.0050,0.0034,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2008,2380,369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0004,0.0000,0.0004,0.0017,0.0134,0.0445,0.0845,0.1815,0.2248,0.1408,0.0975,0.0689,0.0706,0.0445,0.0151,0.0084,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2009,1389,260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0022,0.0036,0.0094,0.0355,0.0935,0.2297,0.2551,0.1964,0.0862,0.0449,0.0239,0.0123,0.0043,0.0014,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2010,783,176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000,0.0013,0.0064,0.0038,0.0102,0.0077,0.0192,0.0473,0.1622,0.2618,0.2618,0.1188,0.0575,0.0230,0.0115,0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2011,685,164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0015,0.0381,0.0469,0.0543,0.0235,0.0205,0.0308,0.0733,0.2111,0.2595,0.1510,0.0718,0.0147,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2012,626,134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0139,0.0107,0.0369,0.0779,0.0930,0.0764,0.0630,0.0366,0.1387,0.2272,0.1449,0.0488,0.0290,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2013,402,89,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0041,0.0325,0.0311,0.0216,0.0229,0.0593,0.0762,0.1647,0.1324,0.0867,0.1267,0.1520,0.0694,0.0145,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2014,299,74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0174,0.0728,0.0732,0.0209,0.0418,0.0138,0.0271,0.0431,0.0629,0.1122,0.0825,0.1684,0.1814,0.0660,0.0099,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2015,95,42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0109,0.0000,0.0000,0.0109,0.0217,0.0435,0.0978,0.2065,0.2500,0.2174,0.1413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
